Suhu Udara (°C),Tekanan Udara Area Pit (hPa),Kelembapan Jalur Hauling (%),Kecepatan Angin (m/s),Curah Hujan (mm),Kepadatan Dump Truck (Unit/Jam),Indeks Aktivitas Blasting (Ppm),Debu_1_Jam_Lalu,Debu_2_Jam_Lalu,Tren_Suhu_3Jam,Tren_Truk_3Jam
-1.4,1020.4,-13.0,1.2,0.0,1899.0,73.0,93.0,81.0,-0.9333333333333335,1699.6666666666667
-2.0,1019.4,-13.2,1.2,0.0,2200.0,80.0,112.0,93.0,-1.4000000000000001,1933.0
-2.8,1018.3,-12.3,1.4,0.0,2399.0,98.0,109.0,112.0,-2.066666666666667,2166.0
-2.6,1017.2,-13.2,1.2,0.0,2500.0,88.0,110.0,109.0,-2.466666666666667,2366.3333333333335
-4.3,1016.9,-11.8,0.9,0.0,2799.0,79.0,105.0,110.0,-3.233333333333334,2566.0
-5.6,1016.3,-10.9,0.8,0.0,2399.0,64.0,106.0,105.0,-4.166666666666667,2566.0
-5.8,1016.2,-11.0,0.8,0.0,2100.0,67.0,101.0,106.0,-5.233333333333333,2432.6666666666665
-3.1,1016.5,-11.1,1.5,0.0,2000.0,83.0,91.0,101.0,-4.833333333333333,2166.3333333333335
0.7,1016.2,-13.0,2.3,0.0,2299.0,123.0,79.0,91.0,-2.733333333333334,2133.0
3.5,1015.8,-13.8,0.4,0.0,2600.0,135.0,77.0,79.0,0.36666666666666625,2299.6666666666665
6.5,1014.9,-13.2,1.3,0.0,1800.0,116.0,83.0,77.0,3.5666666666666664,2233.0
11.4,1013.8,-10.8,0.9,0.0,1600.0,89.0,94.0,83.0,7.133333333333333,2000.0
13.8,1012.5,-13.3,1.1,0.0,1600.0,77.0,96.0,94.0,10.566666666666666,1666.6666666666667
16.0,1011.5,-13.5,5.9,0.0,1200.0,50.0,91.0,96.0,13.733333333333334,1466.6666666666667
16.7,1010.8,-14.0,4.3,0.0,900.0,31.0,98.0,91.0,15.5,1233.3333333333333
16.9,1010.5,-12.7,2.0,0.0,500.0,14.0,72.0,98.0,16.533333333333335,866.6666666666666
16.4,1010.6,-15.4,2.9,0.0,400.0,12.0,48.0,72.0,16.666666666666664,600.0
13.1,1011.1,-10.1,1.7,0.0,400.0,9.0,28.0,48.0,15.466666666666667,433.3333333333333
8.7,1012.3,-11.3,1.6,0.0,500.0,8.0,26.0,28.0,12.733333333333333,433.3333333333333
12.2,1013.4,-13.7,2.0,0.0,1300.0,26.0,24.0,26.0,11.333333333333334,733.3333333333334
11.7,1013.5,-12.6,0.9,0.0,2000.0,64.0,19.0,24.0,10.866666666666665,1266.6666666666667
5.3,1013.6,-10.9,0.0,0.0,1100.0,28.0,60.0,19.0,9.733333333333333,1466.6666666666667
3.1,1014.1,-10.2,1.8,0.0,1200.0,28.0,117.0,60.0,6.7,1433.3333333333333
5.2,1014.8,-10.6,1.7,0.0,1200.0,29.0,54.0,117.0,4.533333333333333,1166.6666666666667
7.7,1015.7,-11.1,2.6,0.0,1300.0,51.0,46.0,54.0,5.333333333333333,1233.3333333333333
8.2,1016.7,-11.7,2.8,0.0,1000.0,39.0,42.0,46.0,7.033333333333332,1166.6666666666667
8.1,1016.7,-11.8,4.3,0.0,300.0,39.0,49.0,42.0,8.0,866.6666666666666
7.2,1016.9,-11.6,2.8,0.0,300.0,6.0,34.0,49.0,7.833333333333333,533.3333333333334
6.0,1018.0,-11.6,1.0,0.0,400.0,14.0,12.0,34.0,7.1000000000000005,333.3333333333333
2.7,1018.6,-10.9,0.5,0.0,400.0,18.0,7.0,12.0,5.3,366.6666666666667
3.8,1018.9,-11.4,2.3,0.0,500.0,24.0,10.0,7.0,4.166666666666667,433.3333333333333
6.5,1019.7,-10.7,2.3,0.0,600.0,30.0,13.0,10.0,4.333333333333333,500.0
9.0,1020.7,-12.2,3.1,0.0,700.0,38.0,14.0,13.0,6.433333333333334,600.0
10.6,1020.8,-12.1,1.3,0.0,500.0,26.0,13.0,14.0,8.700000000000001,600.0
11.9,1020.4,-12.4,2.1,0.0,600.0,22.0,15.0,13.0,10.5,600.0
13.1,1020.0,-13.0,3.0,0.0,400.0,18.0,16.0,15.0,11.866666666666667,500.0
14.2,1018.9,-13.9,2.7,0.0,400.0,12.0,18.0,16.0,13.066666666666665,466.6666666666667
15.3,1017.8,-13.0,2.0,0.0,300.0,7.0,13.0,18.0,14.200000000000001,366.6666666666667
15.2,1017.0,-13.1,0.7,0.0,400.0,8.0,3.0,13.0,14.899999999999999,366.6666666666667
15.3,1016.3,-13.0,2.4,0.0,400.0,9.0,3.0,3.0,15.266666666666667,366.6666666666667
14.5,1015.7,-13.7,2.6,0.0,500.0,10.0,10.0,3.0,15.0,433.3333333333333
12.7,1015.9,-11.8,2.6,0.0,500.0,14.0,14.0,10.0,14.166666666666666,466.6666666666667
11.6,1016.5,-11.3,3.4,0.0,600.0,13.0,20.0,14.0,12.933333333333332,533.3333333333334
10.9,1016.6,-10.6,3.5,0.0,700.0,17.0,25.0,20.0,11.733333333333333,600.0
9.9,1016.9,-10.3,3.1,0.0,800.0,18.0,31.0,25.0,10.800000000000002,700.0
8.4,1016.9,-10.0,2.1,0.0,800.0,40.0,34.0,31.0,9.733333333333334,766.6666666666666
8.6,1016.3,-9.9,2.4,0.0,1000.0,46.0,40.0,34.0,8.966666666666667,866.6666666666666
7.7,1015.7,-9.3,2.1,0.0,1100.0,46.0,51.0,40.0,8.233333333333333,966.6666666666666
4.7,1015.2,-9.1,1.6,0.0,1100.0,66.0,58.0,51.0,7.0,1066.6666666666667
1.1,1014.7,-7.9,0.0,0.0,1200.0,75.0,71.0,58.0,4.5,1133.3333333333333
-0.6,1014.4,-8.1,0.0,0.0,1200.0,58.0,91.0,71.0,1.7333333333333334,1166.6666666666667
0.2,1014.0,-8.8,1.2,0.0,1399.0,66.0,100.0,91.0,0.2333333333333334,1266.3333333333333
1.8,1013.7,-9.5,1.5,0.0,2299.0,76.0,103.0,100.0,0.46666666666666673,1632.6666666666667
0.6,1013.9,-9.4,0.8,0.0,2399.0,91.0,115.0,103.0,0.8666666666666667,2032.3333333333333
-0.2,1013.4,-8.6,1.3,0.0,2200.0,94.0,117.0,115.0,0.7333333333333334,2299.3333333333335
2.9,1013.4,-9.1,1.3,0.0,2299.0,82.0,104.0,117.0,1.0999999999999999,2299.3333333333335
5.1,1013.4,-9.1,1.2,0.0,2399.0,101.0,106.0,104.0,2.5999999999999996,2299.3333333333335
7.7,1012.8,-8.4,1.5,0.0,2899.0,114.0,111.0,106.0,5.233333333333333,2532.3333333333335
9.4,1012.0,-8.2,1.5,0.0,2700.0,107.0,114.0,111.0,7.3999999999999995,2666.0
10.6,1011.1,-8.1,1.4,0.0,2299.0,109.0,131.0,114.0,9.233333333333334,2632.6666666666665
11.9,1009.7,-7.5,1.3,0.0,2299.0,104.0,138.0,131.0,10.633333333333333,2432.6666666666665
12.6,1008.5,-8.0,1.0,0.0,2200.0,94.0,142.0,138.0,11.700000000000001,2266.0
13.5,1007.7,-7.8,1.4,0.0,2100.0,85.0,163.0,142.0,12.666666666666666,2199.6666666666665
13.8,1007.2,-7.6,1.2,0.0,2200.0,85.0,168.0,163.0,13.299999999999999,2166.6666666666665
13.2,1007.1,-7.0,2.0,0.0,2700.0,97.0,165.0,168.0,13.5,2333.3333333333335
12.1,1007.7,-6.4,1.6,0.0,2799.0,101.0,166.0,165.0,13.033333333333331,2566.3333333333335
9.0,1008.2,-5.7,1.4,0.0,2500.0,107.0,190.0,166.0,11.433333333333332,2666.3333333333335
5.3,1008.5,-4.8,0.0,0.0,2200.0,103.0,203.0,190.0,8.799999999999999,2499.6666666666665
3.3,1008.7,-4.7,0.2,0.0,2500.0,106.0,210.0,203.0,5.866666666666667,2400.0
2.9,1009.0,-4.6,1.2,0.0,3100.0,93.0,205.0,210.0,3.8333333333333335,2600.0
5.2,1008.9,-6.1,1.1,0.0,3200.0,92.0,215.0,205.0,3.7999999999999994,2933.3333333333335
4.9,1008.4,-6.1,1.4,0.0,4400.0,147.0,219.0,215.0,4.333333333333333,3566.6666666666665
4.9,1008.5,-6.4,1.2,0.0,4000.0,133.0,226.0,219.0,5.0,3866.6666666666665
4.8,1008.3,-5.9,1.5,0.0,4000.0,131.0,284.0,226.0,4.866666666666666,4133.333333333333
4.1,1007.8,-5.9,1.9,0.0,3200.0,109.0,272.0,284.0,4.6,3733.3333333333335
4.0,1007.6,-6.3,1.9,0.0,2600.0,90.0,242.0,272.0,4.3,3266.6666666666665
3.9,1007.3,-6.1,1.4,0.0,2600.0,83.6808,212.0,242.0,3.9999999999999996,2800.0
4.1,1007.8,-5.7,1.6,0.0,2500.0,92.0,192.0,212.0,4.0,2566.6666666666665
4.5,1008.4,-5.3,2.0,0.0,2600.0,94.0,188.0,192.0,4.166666666666667,2566.6666666666665
5.7,1009.3,-5.0,1.7,0.0,2700.0,92.0,186.0,188.0,4.766666666666667,2600.0
6.6,1009.3,-4.8,1.7,0.0,2500.0,102.0,188.0,186.0,5.599999999999999,2600.0
7.5,1009.1,-4.6,1.7,0.0,2399.0,98.0,194.0,188.0,6.599999999999999,2533.0
8.7,1008.6,-4.5,1.5,0.0,2600.0,107.0,184.0,194.0,7.599999999999999,2499.6666666666665
10.1,1007.7,-4.7,1.4,0.0,2399.0,119.0,175.0,184.0,8.766666666666666,2466.0
11.1,1006.9,-4.2,0.4,0.0,2299.0,124.0,179.0,175.0,9.966666666666667,2432.6666666666665
12.6,1005.8,-3.7,1.5,0.0,2700.0,126.0,192.0,179.0,11.266666666666666,2466.0
14.5,1005.5,-3.3,1.6,0.0,2799.0,130.0,201.0,192.0,12.733333333333333,2599.3333333333335
14.7,1005.5,-3.2,2.5,0.0,2899.0,140.0,230.0,201.0,13.933333333333332,2799.3333333333335
14.2,1005.5,-3.2,1.4,0.0,2799.0,154.0,246.0,230.0,14.466666666666663,2832.3333333333335
11.6,1005.9,-3.4,1.1,0.0,3200.0,145.0,248.0,246.0,13.499999999999998,2966.0
6.8,1006.8,-2.9,0.9,0.0,3500.0,142.0,230.0,248.0,10.866666666666667,3166.3333333333335
5.1,1007.6,-2.5,1.2,0.0,3700.0,124.0,239.0,230.0,7.833333333333332,3466.6666666666665
4.4,1008.2,-2.5,1.1,0.0,4200.0,107.0,242.0,239.0,5.433333333333333,3800.0
3.8,1007.7,-2.2,1.9,0.0,3799.0,117.0,254.0,242.0,4.433333333333333,3899.6666666666665
2.4,1007.3,-2.5,1.2,0.0,4099.0,111.0,266.0,254.0,3.533333333333333,4032.6666666666665
2.3,1007.2,-2.4,1.3,0.0,4000.0,119.0,254.0,266.0,2.8333333333333326,3966.0
1.5,1007.1,-2.6,0.8,0.0,4000.0,102.0,260.0,254.0,2.066666666666666,4033.0
0.7,1007.1,-2.7,1.2,0.0,4000.0,91.0,250.0,260.0,1.4999999999999993,4000.0
1.5,1006.9,-2.5,0.6,0.0,4000.0,83.0,240.0,250.0,1.2333333333333327,4000.0
0.3,1006.5,-2.7,1.7,0.0,4099.0,86.0,238.0,240.0,0.8333333333333327,4033.0
-0.9,1006.4,-3.3,0.5,0.0,5000.0,57.0,243.0,238.0,0.2999999999999994,4366.333333333333
1.6,1006.7,-1.5,1.7,0.0,5599.0,46.0,246.0,243.0,0.33333333333333276,4899.333333333333
0.3,1006.6,-2.7,0.4,0.0,5700.0,41.0,275.0,246.0,0.33333333333333276,5433.0
2.4,1006.8,-1.4,1.5,0.0,4599.0,46.0,306.0,275.0,1.4333333333333327,5299.333333333333
8.3,1006.5,-1.0,0.8,0.0,3700.0,78.0,320.0,306.0,3.666666666666666,4666.333333333333
10.1,1006.1,-0.7,0.6,0.0,3299.0,182.0,292.0,320.0,6.933333333333333,3866.0
12.7,1005.5,-1.6,1.2,0.0,3200.0,166.0,251.0,292.0,10.366666666666665,3399.6666666666665
16.5,1003.6,-1.6,1.7,0.0,4000.0,169.0,228.0,251.0,13.1,3499.6666666666665
17.1,1001.6,-3.1,3.7,0.0,4000.0,154.0,217.0,228.0,15.433333333333332,3733.3333333333335
17.7,1000.2,-3.2,3.1,0.0,3700.0,111.0,255.0,217.0,17.099999999999998,3900.0
18.3,998.6,-3.2,3.6,0.0,2899.0,102.0,258.0,255.0,17.7,3533.0
18.6,997.6,-1.8,3.3,0.0,2399.0,79.0,277.0,258.0,18.2,2999.3333333333335
17.9,997.2,-0.9,1.9,0.0,1899.0,62.0,282.0,277.0,18.26666666666667,2399.0
15.4,997.1,-1.7,1.4,0.0,1600.0,64.0,267.0,282.0,17.3,1966.0
14.4,997.4,-2.5,1.9,0.0,1899.0,76.0,216.0,267.0,15.9,1799.3333333333333
13.4,997.9,-2.6,1.5,0.0,2399.0,79.0,201.0,216.0,14.4,1966.0
11.8,997.7,-2.1,1.5,0.0,3399.0,99.0,211.0,201.0,13.200000000000001,2565.6666666666665
9.2,997.9,-1.3,1.4,0.0,4000.0,114.0,227.0,211.0,11.466666666666667,3266.0
7.5,998.3,-1.2,1.3,0.0,4000.0,126.0,282.0,227.0,9.5,3799.6666666666665
6.6,998.4,-0.9,0.1,0.0,3799.0,128.0,363.0,282.0,7.766666666666666,3933.0
4.1,998.2,-1.3,0.0,0.0,3799.0,107.0,376.0,363.0,6.066666666666666,3866.0
3.3,998.5,-1.7,0.9,0.0,4099.0,90.0,344.0,376.0,4.666666666666667,3899.0
2.5,998.2,-1.9,0.8,0.0,3899.0,90.0,339.0,344.0,3.2999999999999994,3932.3333333333335
1.8,997.9,-1.8,0.0,0.0,3899.0,71.0,339.0,339.0,2.533333333333333,3965.6666666666665
1.3,998.5,-1.8,1.0,0.0,3299.0,62.0,324.0,339.0,1.8666666666666665,3699.0
1.4,999.0,-1.5,0.8,0.0,3200.0,47.0,322.0,324.0,1.5,3466.0
1.1,999.7,-1.8,0.8,0.0,3299.0,45.0,315.0,322.0,1.2666666666666668,3266.0
5.7,1000.4,0.5,1.0,0.0,4099.0,44.0,310.0,315.0,2.733333333333333,3532.6666666666665
10.9,1000.8,1.4,0.7,0.0,4900.0,88.0,309.0,310.0,5.900000000000001,4099.333333333333
16.9,1001.1,-0.4,1.0,0.0,5200.0,144.0,310.0,309.0,11.166666666666666,4733.0
19.1,1000.9,-0.4,1.9,0.0,5200.0,125.9496,326.0,310.0,15.633333333333335,5100.0
20.5,1000.5,-3.3,4.4,0.0,3100.0,83.0,326.0,326.0,18.833333333333332,4500.0
21.7,999.4,-2.3,3.0,0.0,1399.0,37.0,219.0,326.0,20.433333333333334,3233.0
22.5,998.2,-2.3,3.3,0.0,1300.0,40.0,104.0,219.0,21.566666666666666,1933.0
17.4,998.3,1.4,4.5,0.0,1800.0,49.0,121.0,104.0,20.533333333333335,1499.6666666666667
13.9,999.5,1.2,2.7,0.0,3600.0,102.0,184.0,121.0,17.933333333333334,2233.3333333333335
11.9,1000.2,0.0,2.6,0.0,1700.0,84.0,330.0,184.0,14.4,2366.6666666666665
10.3,999.9,-0.5,2.8,0.0,1100.0,68.0,172.0,330.0,12.033333333333337,2133.3333333333335
9.3,1000.6,-0.9,1.4,0.0,900.0,55.0,114.0,172.0,10.500000000000002,1233.3333333333333
8.0,1000.5,-0.3,0.8,0.0,1100.0,46.0,82.0,114.0,9.200000000000001,1033.3333333333333
7.9,1000.4,-1.6,1.4,0.0,1000.0,48.0,84.0,82.0,8.4,1000.0
7.2,1000.0,-1.5,1.6,0.0,1100.0,43.0,91.0,84.0,7.700000000000002,1066.6666666666667
6.3,999.0,-3.4,0.9,0.0,1399.0,45.0,81.0,91.0,7.1333333333333355,1166.3333333333333
5.7,997.7,-3.4,1.0,0.0,1500.0,53.0,90.0,81.0,6.400000000000001,1333.0
3.6,996.1,-2.6,0.6,0.0,1600.0,53.0,79.0,90.0,5.200000000000002,1499.6666666666667
2.1,994.9,-2.6,1.1,0.0,1899.0,54.0,49.0,79.0,3.800000000000001,1666.3333333333333
1.4,994.1,-3.1,0.0,0.0,2299.0,44.0,89.0,49.0,2.3666666666666676,1932.6666666666667
1.1,993.0,-3.2,1.4,0.0,2299.0,42.0,89.0,89.0,1.5333333333333343,2165.6666666666665
1.8,992.0,-2.3,0.0,0.0,2399.0,52.0,98.0,89.0,1.4333333333333345,2332.3333333333335
3.2,992.0,-2.8,1.3,0.0,2500.0,52.0,97.0,98.0,2.0333333333333345,2399.3333333333335
2.8,992.2,-2.5,1.0,0.0,2600.0,44.0,102.0,97.0,2.6000000000000014,2499.6666666666665
4.6,992.9,-2.1,1.8,0.0,2100.0,51.0,110.0,102.0,3.5333333333333345,2400.0
8.4,994.1,-1.7,2.6,0.0,2100.0,70.0,108.0,110.0,5.266666666666668,2266.6666666666665
16.3,995.9,-0.4,3.3,0.0,1899.0,108.0,104.0,108.0,9.766666666666667,2033.0
16.7,998.3,-4.6,7.7,0.0,2200.0,122.0,113.0,104.0,13.800000000000002,2066.3333333333335
14.3,1001.3,-9.1,7.4,0.0,400.0,50.0,145.0,113.0,15.766666666666666,1499.6666666666667
12.4,1004.3,-14.4,7.9,0.0,300.0,10.0,69.0,145.0,14.466666666666667,966.6666666666666
10.3,1006.5,-17.0,7.2,0.0,300.0,4.0,78.0,69.0,12.333333333333334,333.3333333333333
10.5,1008.1,-16.8,6.7,0.0,300.0,3.0,49.0,78.0,11.066666666666668,300.0
10.2,1009.4,-17.1,3.9,0.0,300.0,3.0,47.0,49.0,10.333333333333334,300.0
10.5,1010.8,-17.8,4.8,0.0,300.0,3.0,28.0,47.0,10.399999999999999,300.0
8.6,1013.0,-18.3,4.8,0.0,300.0,4.0,21.0,28.0,9.766666666666666,300.0
7.4,1015.9,-19.3,4.8,0.0,300.0,4.0,14.0,21.0,8.833333333333334,300.0
6.4,1018.1,-18.4,3.5,0.0,400.0,5.0,17.0,14.0,7.466666666666666,333.3333333333333
5.6,1019.7,-18.3,4.5,0.0,400.0,4.0,15.0,17.0,6.466666666666666,366.6666666666667
4.8,1020.3,-17.6,3.3,0.0,400.0,4.0,18.0,15.0,5.6000000000000005,400.0
3.8,1021.2,-17.8,1.2,0.0,300.0,6.0,12.0,18.0,4.733333333333333,366.6666666666667
0.8,1021.3,-14.1,0.6,0.0,400.0,8.0,11.0,12.0,3.1333333333333333,366.6666666666667
-0.5,1020.8,-13.4,0.0,0.0,400.0,6.0,6.0,11.0,1.3666666666666665,366.6666666666667
-0.2,1021.1,-11.6,1.0,0.0,400.0,10.0,11.0,6.0,0.03333333333333335,400.0
-2.1,1020.9,-11.7,0.7,0.0,400.0,14.0,11.0,11.0,-0.9333333333333332,400.0
-2.0,1021.1,-11.8,1.2,0.0,500.0,17.0,6.0,11.0,-1.4333333333333336,433.3333333333333
-1.3,1021.9,-14.8,0.0,0.0,500.0,17.0,10.0,6.0,-1.8,466.6666666666667
-1.8,1022.0,-10.9,1.7,0.0,700.0,18.0,18.0,10.0,-1.7,566.6666666666666
-2.0,1022.5,-11.8,0.0,0.0,800.0,21.0,21.0,18.0,-1.7,666.6666666666666
3.5,1023.2,-14.7,2.3,0.0,1500.0,21.0,18.0,21.0,-0.10000000000000009,1000.0
5.3,1023.5,-15.9,4.6,0.0,1300.0,33.0,24.0,18.0,2.2666666666666666,1200.0
6.8,1023.1,-15.9,5.2,0.0,900.0,34.0,31.0,24.0,5.2,1233.3333333333333
8.3,1022.4,-14.7,4.6,0.0,700.0,28.0,26.0,31.0,6.800000000000001,966.6666666666666
9.8,1021.9,-14.2,2.7,0.0,800.0,20.0,27.0,26.0,8.3,800.0
10.4,1021.0,-14.4,0.4,0.0,700.0,21.0,30.0,27.0,9.5,733.3333333333334
11.2,1020.0,-13.8,2.8,0.0,600.0,20.0,28.0,30.0,10.466666666666667,700.0
11.4,1019.0,-13.6,4.0,0.0,500.0,17.0,34.0,28.0,11.0,600.0
11.3,1018.7,-14.5,4.5,0.0,500.0,17.0,28.0,34.0,11.300000000000002,533.3333333333334
10.4,1018.3,-13.7,4.1,0.0,500.0,18.0,37.0,28.0,11.033333333333333,500.0
9.1,1018.2,-13.4,4.4,0.0,500.0,25.0,36.0,37.0,10.266666666666667,500.0
8.2,1018.5,-12.3,2.6,0.0,600.0,27.0,38.0,36.0,9.233333333333333,533.3333333333334
7.7,1018.8,-11.1,2.3,0.0,700.0,28.0,44.0,38.0,8.333333333333332,600.0
7.4,1018.8,-10.9,3.5,0.0,800.0,33.0,60.0,44.0,7.766666666666667,700.0
6.5,1018.9,-10.3,2.7,0.0,800.0,28.0,70.0,60.0,7.2,766.6666666666666
5.9,1018.5,-10.0,2.4,0.0,900.0,31.0,64.0,70.0,6.6000000000000005,833.3333333333334
3.0,1018.7,-9.0,0.9,0.0,1000.0,46.0,70.0,64.0,5.133333333333333,900.0
0.3,1018.5,-8.7,1.4,0.0,1100.0,55.0,81.0,70.0,3.0666666666666664,1000.0
-0.7,1018.0,-7.3,0.7,0.0,1100.0,57.0,90.0,81.0,0.8666666666666667,1066.6666666666667
-1.7,1017.4,-7.0,0.5,0.0,1100.0,53.0,95.0,90.0,-0.6999999999999998,1100.0
-2.1,1017.2,-6.5,0.6,0.0,1100.0,56.0,95.0,95.0,-1.5,1100.0
-1.6,1016.9,-7.9,1.1,0.0,1100.0,55.0,96.0,95.0,-1.8,1100.0
-2.3,1016.9,-8.0,0.1,0.0,1200.0,49.0,97.0,96.0,-2.0,1133.3333333333333
-2.1,1017.0,-8.0,0.9,0.0,1600.0,40.0,106.0,97.0,-2.0,1300.0
1.3,1017.4,-8.3,1.9,0.0,2100.0,62.0,114.0,106.0,-1.0333333333333334,1633.3333333333333
3.1,1017.5,-8.6,1.8,0.0,2600.0,71.0,112.0,114.0,0.7666666666666665,2100.0
4.6,1016.8,-8.2,1.8,0.0,2500.0,96.0,113.0,112.0,3.0,2400.0
6.7,1016.0,-8.1,1.4,0.0,2500.0,102.0,120.0,113.0,4.8,2533.3333333333335
7.6,1015.0,-8.1,1.3,0.0,2299.0,96.0,141.0,120.0,6.3,2433.0
9.7,1013.4,-7.5,1.6,0.0,2200.0,99.0,140.0,141.0,8.0,2333.0
11.3,1012.3,-7.1,3.5,0.0,2100.0,114.0,149.0,140.0,9.533333333333333,2199.6666666666665
11.4,1010.9,-7.5,2.5,0.0,1100.0,99.0,150.0,149.0,10.799999999999999,1800.0
10.7,1010.3,-6.2,2.1,0.0,1000.0,96.0,114.0,150.0,11.133333333333333,1400.0
10.4,1009.5,-6.5,3.4,0.0,1100.0,109.0,106.0,114.0,10.833333333333334,1066.6666666666667
9.7,1009.7,-5.8,2.1,0.0,1700.0,148.0,113.0,106.0,10.266666666666667,1266.6666666666667
